,t-SNE position x,t-SNE position y,Which t-SNE
20171204_sample_2,-42.63,35.79,Excitatory
20171204_sample_4,-9.35,27.86,Excitatory
20171204_sample_5,0.46,21.97,Excitatory
20171204_sample_6,-44.01,37.65,Excitatory
20171207_sample_1,-41.12,35.76,Excitatory
20171207_sample_2,-41.0,36.12,Excitatory
20171207_sample_6,-5.19,18.62,Excitatory
20171207_sample_7,1.02,23.89,Excitatory
20171219_sample_1,-1.58,-11.88,Excitatory
20171219_sample_2,0.39,22.97,Excitatory
20171219_sample_3,-4.15,-17.07,Excitatory
20171219_sample_4,-41.28,35.9,Excitatory
20171219_sample_6,-41.76,38.36,Excitatory
20171219_sample_7,-2.42,1.17,Excitatory
20171219_sample_8,-41.75,35.89,Excitatory
20180102_sample_1,-41.92,35.45,Excitatory
20180102_sample_2,-1.24,24.81,Excitatory
20180102_sample_3,-42.05,35.77,Excitatory
20180102_sample_4,-41.0,36.03,Excitatory
20180102_sample_5,-2.96,-16.81,Excitatory
20180103_sample_1,2.38,-7.14,Excitatory
20180103_sample_2,-41.68,35.79,Excitatory
20180103_sample_3,-42.71,35.77,Excitatory
20180103_sample_4,,,           
20180103_sample_5,0.89,20.72,Excitatory
20180103_sample_6,-2.97,12.36,Excitatory
20180103_sample_7,-5.14,11.17,Excitatory
20180103_sample_8,-0.0,24.71,Excitatory
20180104_sample_1,,,           
20180104_sample_2,-3.57,28.76,Excitatory
20180104_sample_3,-2.67,-10.31,Excitatory
20180104_sample_4,,,           
20180104_sample_6,-42.77,37.87,Excitatory
20180105_sample_4,-1.09,24.28,Excitatory
20180105_sample_5,-7.95,12.31,Excitatory
20180105_sample_6,0.05,23.25,Excitatory
20180108_sample_1,-5.56,12.16,Excitatory
20180108_sample_2,,,           
20180108_sample_3,0.81,21.78,Excitatory
20180108_sample_4,-43.81,4.39,Excitatory
20180108_sample_5,-42.18,38.27,Excitatory
20180108_sample_7,-5.71,10.43,Excitatory
20180108_sample_8,-41.58,35.56,Excitatory
20180108_sample_9,-2.82,23.67,Excitatory
20180108_sample_10,-41.55,35.81,Excitatory
20180109_sample_1,-1.45,23.56,Excitatory
20180109_sample_2,-0.72,24.6,Excitatory
20180109_sample_5,-7.98,27.49,Excitatory
20180110_sample_1,2.64,24.94,Excitatory
20180110_sample_2,-6.37,23.97,Excitatory
20180110_sample_3,-11.15,19.3,Excitatory
20180110_sample_4,-1.92,21.32,Excitatory
20180110_sample_5,-5.45,26.96,Excitatory
20180110_sample_7,1.37,24.72,Excitatory
20180110_sample_8,-44.0,37.41,Excitatory
20180111_sample_5,-8.33,30.96,Excitatory
20180115_sample_2,-4.17,-15.48,Excitatory
20180115_sample_5,-1.66,11.78,Excitatory
20180115_sample_6,,,           
20180115_sample_7,-6.96,26.41,Excitatory
20180115_sample_8,-4.43,3.17,Excitatory
20180115_sample_9,-1.2,25.41,Excitatory
20180118_sample_1,1.1,23.69,Excitatory
20180118_sample_2,-4.8,19.31,Excitatory
20180118_sample_4,-5.54,19.93,Excitatory
20180118_sample_6,-2.34,20.83,Excitatory
20180118_sample_7,-41.41,35.76,Excitatory
20180118_sample_10,-43.99,37.55,Excitatory
20180123_sample_1,-41.57,35.76,Excitatory
20180123_sample_3,-41.23,35.9,Excitatory
20180123_sample_5,-42.6,36.11,Excitatory
20180123_sample_6,-41.16,35.77,Excitatory
20180123_sample_7,-43.98,37.55,Excitatory
20180208_sample_1,,,           
20180208_sample_2,-42.37,35.74,Excitatory
20180208_sample_3,-41.78,35.77,Excitatory
20180208_sample_4,-8.82,27.28,Excitatory
20180208_sample_5,-7.64,26.03,Excitatory
20180213_sample_3,-41.77,38.19,Excitatory
20180213_sample_5,-47.91,-35.96,Pvalb/Sst
20180215_sample_1,-50.32,8.77,Pvalb/Sst
20180220_sample_1,5.78,-9.33,Pvalb/Sst
20180220_sample_2,1.82,-4.81,Excitatory
20180225_sample_1,42.31,22.05,Excitatory
20180225_sample_2,42.31,23.63,Excitatory
20180225_sample_3,29.17,-25.81,Excitatory
20180225_sample_4,-4.46,12.18,Excitatory
20180225_sample_5,-42.2,38.38,Excitatory
20180225_sample_7,-44.52,11.78,Pvalb/Sst
20180228_sample_3,25.05,27.59,Excitatory
20180306_sample_1,-60.52,16.7,Pvalb/Sst
20180306_sample_2,45.73,10.43,Excitatory
20180306_sample_3,27.97,20.12,Excitatory
20180306_sample_5,40.45,17.75,Excitatory
20180309_sample_4,-0.01,2.5,Excitatory
20180309_sample_6,-2.77,2.2,Excitatory
20180309_sample_7,-0.78,-18.11,Excitatory
20180309_sample_8,40.28,21.84,Excitatory
20180313_sample_1,,,           
20180313_sample_2,-42.56,35.78,Excitatory
20180313_sample_3,-41.3,35.87,Excitatory
20180313_sample_7,31.52,23.75,Excitatory
20180313_sample_8,,,           
20180313_sample_9,-40.69,20.8,Pvalb/Sst
20180315_sample_1,-42.13,38.38,Excitatory
20180315_sample_2,,,           
20180315_sample_5,39.82,16.81,Excitatory
20180315_sample_6,43.35,14.12,Excitatory
20180321_sample_2,-8.02,14.67,Excitatory
20180321_sample_3,1.82,-4.81,Excitatory
20180321_sample_4,42.31,22.05,Excitatory
20180321_sample_8,-41.6,35.43,Excitatory
20180321_sample_9,-41.39,35.75,Excitatory
20180322_sample_1,39.96,18.97,Excitatory
20180322_sample_2,34.0,34.39,Excitatory
20180322_sample_3,-1.76,-17.11,Excitatory
20180322_sample_4,-4.28,-16.87,Excitatory
20180322_sample_5,-5.11,10.82,Excitatory
20180322_sample_6,-41.64,35.72,Excitatory
20180322_sample_7,-44.03,37.63,Excitatory
20180327_sample_1,-27.5,26.99,Pvalb/Sst
20180327_sample_2,-45.99,-34.73,Pvalb/Sst
20180327_sample_3,0.71,21.98,Excitatory
20180327_sample_4,-26.85,-3.51,Pvalb/Sst
20180327_sample_5,-49.38,-35.59,Pvalb/Sst
20180327_sample_6,-2.98,-20.28,Excitatory
20180329_sample_1,-3.15,-3.06,Excitatory
20180329_sample_2,-8.79,29.07,Excitatory
20180329_sample_3,0.89,22.09,Excitatory
20180329_sample_4,-42.67,35.77,Excitatory
20180329_sample_5,40.11,18.97,Excitatory
20180329_sample_6,0.82,25.42,Excitatory
20180329_sample_7,,,           
20180329_sample_8,-3.57,-20.46,Excitatory
20180403_sample_5,-0.83,12.06,Excitatory
20180403_sample_6,-41.07,35.93,Excitatory
20180403_sample_7,-1.59,7.23,Excitatory
20180404_sample_1,-46.5,20.85,Pvalb/Sst
20180404_sample_2,-46.59,19.71,Pvalb/Sst
20180404_sample_3,11.52,-11.48,Excitatory
20180404_sample_4,-26.76,25.92,Pvalb/Sst
20180404_sample_5,-8.26,-22.31,Pvalb/Sst
20180404_sample_7,37.06,22.62,Excitatory
20180405_sample_1,-41.77,35.51,Excitatory
20180405_sample_2,-3.28,-17.83,Excitatory
20180405_sample_3,26.24,-41.29,Excitatory
20180410_sample_1,-35.95,24.54,Pvalb/Sst
20180410_sample_3,40.65,18.6,Excitatory
20180410_sample_4,24.01,27.59,Excitatory
20180410_sample_5,37.25,6.75,Excitatory
20180410_sample_6,23.9,26.75,Excitatory
20180410_sample_9,-29.36,22.25,Pvalb/Sst
20180411_sample_1,37.25,23.32,Excitatory
20180411_sample_3,-1.64,22.14,Excitatory
20180411_sample_4,-30.04,15.5,Pvalb/Sst
20180411_sample_5,-59.07,19.51,Pvalb/Sst
20180412_sample_1,-5.53,6.65,Excitatory
20180412_sample_2,-23.34,19.19,Pvalb/Sst
20180412_sample_3,-2.29,-16.57,Excitatory
20180412_sample_4,41.04,18.64,Excitatory
20180412_sample_7,-2.33,-3.15,Excitatory
20180413_sample_2,-38.69,24.89,Pvalb/Sst
20180413_sample_3,-50.48,21.96,Pvalb/Sst
20180413_sample_4,40.5,18.48,Excitatory
20180417_sample_1,-27.08,34.56,Lamp5/Vip
20180417_sample_2,-23.34,18.99,Pvalb/Sst
20180417_sample_3,-2.27,-16.8,Excitatory
20180417_sample_4,-28.05,29.32,Pvalb/Sst
20180417_sample_5,40.35,21.02,Excitatory
20180417_sample_6,38.39,17.19,Excitatory
20180417_sample_7,-32.72,24.48,Pvalb/Sst
20180417_sample_8,19.28,31.19,Pvalb/Sst
20180417_sample_9,41.09,18.64,Excitatory
20180418_sample_1,-30.61,30.1,Pvalb/Sst
20180418_sample_2,-50.67,18.56,Pvalb/Sst
20180418_sample_3,-43.29,20.07,Pvalb/Sst
20180418_sample_5,-3.15,22.66,Excitatory
20180418_sample_6,39.68,11.2,Excitatory
20180420_sample_2,,,           
20180420_sample_3,34.17,5.85,Excitatory
20180420_sample_4,46.1,18.6,Excitatory
20180424_sample_1,49.41,-6.16,Excitatory
