,Ephys t-SNE x,Ephys t-SNE y,Morph t-SNE x,Moprh t-SNE y,Morphoelectric t-SNE x,Morphoelectric t-SNE y
20171204_sample_2,32.98,-30.54,39.89,14.78,24.94,13.32
20171204_sample_4,32.72,-31.22,33.94,10.36,24.09,12.44
20171204_sample_5,33.52,-31.38,37.15,10.31,24.25,12.99
20171204_sample_6,34.38,-32.61,38.6,7.42,23.21,13.35
20171207_sample_1,57.06,-3.56,34.24,14.81,38.07,10.32
20171207_sample_2,56.69,-3.55,39.85,10.61,38.19,9.6
20171207_sample_6,-9.07,-3.05,38.85,13.95,22.72,10.37
20171207_sample_7,-8.98,-3.07,35.7,8.17,22.67,10.17
20171219_sample_1,45.16,-0.51,31.32,11.35,34.82,3.8
20171219_sample_2,45.08,0.11,39.11,10.63,32.51,8.38
20171219_sample_3,42.04,-0.7,32.59,10.61,34.26,4.51
20171219_sample_4,41.18,4.63,,,,
20171219_sample_6,39.46,8.2,37.61,6.32,31.07,10.81
20171219_sample_7,42.09,-0.91,36.75,5.76,32.19,4.84
20171219_sample_8,41.63,3.96,38.12,11.25,32.49,8.93
20180102_sample_1,40.44,8.96,37.08,12.77,32.85,12.01
20180102_sample_2,50.23,-6.88,,,,
20180102_sample_3,28.61,-13.54,32.34,12.73,26.45,9.02
20180102_sample_4,51.07,0.57,34.99,12.32,33.66,9.44
20180102_sample_5,28.84,-10.15,36.15,5.46,29.47,5.91
20180103_sample_1,51.77,0.02,,,,
20180103_sample_2,54.61,-1.01,34.01,14.93,36.89,10.58
20180103_sample_3,25.13,-13.43,,,,
20180103_sample_4,17.54,-19.75,,,,
20180103_sample_5,27.92,-14.34,,,,
20180103_sample_6,26.45,-13.38,,,,
20180103_sample_7,49.25,0.23,37.06,5.22,31.99,5.74
20180103_sample_8,24.78,-19.63,,,,
20180104_sample_1,26.24,-14.22,,,,
20180104_sample_2,39.52,-4.05,,,,
20180104_sample_3,32.66,-9.99,,,,
20180104_sample_4,26.46,-13.16,,,,
20180104_sample_6,31.39,-11.24,38.2,12.71,28.09,10.57
20180105_sample_4,46.86,-1.57,34.85,12.89,30.88,9.09
20180105_sample_5,43.69,-0.21,36.56,3.35,31.92,3.94
20180105_sample_6,29.49,-12.07,33.98,12.54,27.54,9.16
20180108_sample_1,48.37,0.27,,,,
20180108_sample_2,47.53,0.78,,,,
20180108_sample_3,50.32,-2.86,,,,
20180108_sample_4,42.08,8.35,37.46,9.76,33.59,11.92
20180108_sample_5,40.97,11.79,36.17,10.98,35.45,12.57
20180108_sample_7,50.95,-1.89,,,,
20180108_sample_8,53.85,0.25,,,,
20180108_sample_9,16.93,-20.78,35.13,13.81,25.31,9.69
20180108_sample_10,17.49,-20.08,,,,
20180109_sample_1,48.28,1.13,,,,
20180109_sample_2,26.28,-12.15,,,,
20180109_sample_5,28.4,-12.92,,,,
20180110_sample_1,20.7,-16.1,,,,
20180110_sample_2,28.16,-15.61,,,,
20180110_sample_3,44.67,2.38,,,,
20180110_sample_4,29.56,-15.82,,,,
20180110_sample_5,32.66,-16.2,33.59,12.02,25.34,10.72
20180110_sample_7,29.13,-13.35,,,,
20180110_sample_8,43.01,8.57,35.64,11.7,34.08,11.44
20180111_sample_5,20.71,-16.03,32.76,13.62,25.19,8.9
20180115_sample_2,35.0,-14.08,35.97,10.68,26.11,11.27
20180115_sample_5,37.36,-20.63,38.62,14.47,27.28,12.32
20180115_sample_6,55.6,-2.99,,,,
20180115_sample_7,55.35,-2.81,34.96,11.4,36.99,9.67
20180115_sample_8,46.59,1.07,37.97,8.14,32.15,6.89
20180115_sample_9,51.32,-3.26,34.54,8.97,34.15,7.25
20180118_sample_1,54.94,-7.74,35.95,12.16,35.86,7.98
20180118_sample_2,32.63,-9.94,36.78,8.31,29.44,7.6
20180118_sample_4,30.45,-8.18,38.43,5.03,28.83,6.87
20180118_sample_6,45.64,1.12,37.35,7.01,31.96,6.85
20180118_sample_7,54.17,-1.71,36.47,13.91,36.3,10.2
20180118_sample_10,55.12,-1.04,39.33,10.87,36.31,11.18
20180123_sample_1,32.99,-33.17,,,,
20180123_sample_3,39.29,11.83,,,,
20180123_sample_5,30.15,-9.6,34.14,13.61,28.89,9.68
20180123_sample_6,27.03,-30.54,37.94,11.77,25.46,12.63
20180123_sample_7,37.96,11.28,39.97,9.8,32.02,13.66
20180208_sample_1,43.81,6.72,,,,
20180208_sample_2,39.82,10.46,37.08,14.11,33.04,12.56
20180208_sample_3,39.5,9.87,,,,
20180208_sample_4,40.72,5.27,,,,
20180208_sample_5,37.78,10.42,31.92,13.03,34.09,13.33
20180213_sample_3,42.04,9.13,39.54,14.05,33.13,11.05
20180213_sample_5,-52.2,5.09,-32.8,6.62,-27.59,-14.11
20180215_sample_1,-34.37,5.37,-32.98,-2.39,-24.47,-5.99
20180220_sample_1,-18.17,31.14,,,,
20180220_sample_2,33.23,-20.45,32.09,-11.05,30.53,-12.1
20180225_sample_1,37.58,-15.35,36.11,-14.72,25.96,-15.12
20180225_sample_2,26.72,-21.29,,,,
20180225_sample_3,49.37,-5.51,35.4,-4.25,26.64,-5.18
20180225_sample_4,30.46,-13.37,36.52,4.59,28.45,6.31
20180225_sample_5,40.14,8.62,39.21,4.26,31.17,11.51
20180225_sample_7,-55.87,-1.11,,,,
20180228_sample_3,36.41,-29.84,33.09,-18.01,33.16,-17.59
20180306_sample_1,-57.15,-2.67,-13.25,-12.61,-31.23,3.79
20180306_sample_2,29.89,-27.1,35.9,-14.04,31.59,-15.78
20180306_sample_3,26.93,-20.66,36.82,-12.56,28.49,-12.77
20180306_sample_5,35.18,-24.12,32.8,-13.84,30.39,-14.1
20180309_sample_4,30.68,-24.41,37.63,0.27,29.99,-8.6
20180309_sample_6,31.12,-13.07,33.9,-11.76,28.41,-11.0
20180309_sample_7,47.15,2.12,,,,
20180309_sample_8,32.32,-28.77,,,,
20180313_sample_1,,,,,,
20180313_sample_2,38.74,-22.33,36.67,-13.37,30.97,-15.83
20180313_sample_3,36.02,-14.84,32.9,-12.98,26.21,-14.33
20180313_sample_7,32.44,-21.33,34.98,-13.32,27.39,-12.99
20180313_sample_8,41.19,-24.35,,,,
20180313_sample_9,-51.95,-2.42,,,,
20180315_sample_1,44.13,5.9,,,,
20180315_sample_2,31.25,-26.5,,,,
20180315_sample_5,39.66,-19.54,35.28,-9.03,32.25,-11.63
20180315_sample_6,-50.72,-5.75,,,,
20180321_sample_2,34.04,-14.48,,,,
20180321_sample_3,30.74,-19.82,30.78,13.15,23.33,8.41
20180321_sample_4,-12.95,20.42,,,,
20180321_sample_8,23.21,-30.85,34.81,9.23,25.92,14.58
20180321_sample_9,25.85,-30.55,,,,
20180322_sample_1,38.4,-22.3,,,,
20180322_sample_2,34.23,-30.91,32.68,-15.73,33.58,-16.2
20180322_sample_3,30.66,-20.3,,,,
20180322_sample_4,34.55,-13.38,,,,
20180322_sample_5,31.12,-12.55,37.09,7.35,28.27,7.61
20180322_sample_6,40.51,5.9,37.01,16.06,29.84,13.87
20180322_sample_7,35.74,11.86,,,,
20180327_sample_1,-40.34,5.56,-24.52,-4.94,-33.95,-8.01
20180327_sample_2,-46.47,5.54,,,,
20180327_sample_3,33.24,-8.88,32.48,11.57,26.42,8.13
20180327_sample_4,-41.39,-1.58,-24.1,-3.86,-33.07,-8.55
20180327_sample_5,-54.95,-1.69,-25.65,-3.17,-31.08,-8.02
20180327_sample_6,25.08,-12.06,36.53,-10.8,26.47,-10.07
20180329_sample_1,32.58,-8.5,37.54,2.63,29.15,3.3
20180329_sample_2,28.22,-24.82,,,,
20180329_sample_3,32.03,-7.45,,,,
20180329_sample_4,24.72,-15.24,40.62,12.56,28.33,11.73
20180329_sample_5,31.72,-6.25,35.25,6.14,28.47,5.08
20180329_sample_6,50.57,-4.42,33.53,10.09,34.43,6.99
20180329_sample_7,33.85,-6.09,,,,
20180329_sample_8,36.27,-20.69,32.87,3.92,27.21,2.92
20180403_sample_5,53.39,-8.43,,,,
20180403_sample_6,38.31,12.83,,,,
20180403_sample_7,28.2,-11.79,,,,
20180404_sample_1,-34.63,-16.23,,,,
20180404_sample_2,-39.47,6.07,-18.57,-17.3,-35.83,5.24
20180404_sample_3,41.23,-2.94,,,,
20180404_sample_4,-45.44,-11.89,,,,
20180404_sample_5,-30.35,-8.91,-28.98,3.53,-28.01,-14.59
20180404_sample_7,31.74,-26.12,,,,
20180405_sample_1,38.35,12.91,,,,
20180405_sample_2,33.41,-10.5,32.86,-5.58,27.73,0.93
20180405_sample_3,49.09,-6.06,36.97,-3.4,27.01,-5.12
20180410_sample_1,-40.98,8.73,,,,
20180410_sample_3,33.15,-21.3,31.92,-13.71,29.58,-12.38
20180410_sample_4,42.68,-26.81,34.85,-17.18,33.45,-18.8
20180410_sample_5,36.21,-29.47,34.1,-17.13,32.86,-17.31
20180410_sample_6,53.24,-12.57,35.9,-8.64,33.19,-10.17
20180410_sample_9,-54.78,-6.16,-19.29,-2.77,-36.08,-2.25
20180411_sample_1,39.76,-16.7,35.44,-15.59,26.69,-16.15
20180411_sample_3,30.05,-3.79,,,,
20180411_sample_4,-46.35,-0.63,-13.94,-14.15,-31.17,5.64
20180411_sample_5,-57.58,-3.23,-14.3,-13.35,-31.46,2.7
20180412_sample_1,31.13,-23.03,,,,
20180412_sample_2,-43.17,10.65,,,,
20180412_sample_3,4.43,-8.79,,,,
20180412_sample_4,40.23,-25.98,33.39,-14.47,30.34,-17.07
20180412_sample_7,34.71,-21.05,35.05,3.71,26.26,3.56
20180413_sample_2,-32.34,-11.58,,,,
20180413_sample_3,-23.22,-0.65,,,,
20180413_sample_4,36.79,-31.15,32.34,-10.85,33.58,-14.67
20180417_sample_1,20.52,10.98,-11.03,-0.27,-5.28,5.64
20180417_sample_2,-43.07,-19.61,,,,
20180417_sample_3,22.86,-25.22,35.21,-16.52,27.33,-15.08
20180417_sample_4,-38.46,-20.51,,,,
20180417_sample_5,30.34,-24.53,,,,
20180417_sample_6,24.06,-25.8,,,,
20180417_sample_7,-45.8,7.33,,,,
20180417_sample_8,-16.01,18.92,,,,
20180417_sample_9,23.8,-25.63,,,,
20180418_sample_1,-32.79,-17.35,,,,
20180418_sample_2,-45.69,-5.9,,,,
20180418_sample_3,-44.02,-7.2,,,,
20180418_sample_5,41.32,0.31,,,,
20180418_sample_6,42.41,-17.54,,,,
20180420_sample_2,33.78,-22.07,,,,
20180420_sample_3,34.25,-27.13,,,,
20180420_sample_4,35.9,-11.3,,,,
20180424_sample_1,33.4,-23.31,,,,
